hr0001   0 05 09.89  +45 13 44.8  2000.0  __________   6.700  A1Vn      
hr0002   0 05 03.83  -0 30 11.6  2000.0  __________   6.290  G9        
hr0003   0 05 20.09  -5 42 26.1  2000.0  _33____Psc   4.610  K0IIIbCN-0
hr0004   0 05 42.03  +13 23 45.9  2000.0  _86____Peg   5.510  G5III     
hr0005   0 06 16.33  +58 26 12.3  2000.0  __________   5.960  G5V       
hr0006   0 06 19.58  -49 04 30.4  2000.0  __________   5.700  G1IV      
hr0007   0 06 26.51  +64 11 46.0  2000.0  _10____Cas   5.590  B9III     
hr0008   0 06 37.09  +29 01 15.2  2000.0  __________   6.130  K0V       
hr0009   0 06 50.17  -23 06 27.5  2000.0  __________   6.180  A7V       
hr0010   0 07 18.19  -17 23 10.6  2000.0  __________   6.190  A6Vn      
hr0011   0 07 44.12  -2 32 56.0  2000.0  __________   6.430  B8IIIpSi  
hr0012   0 07 46.84  -22 30 32.4  2000.0  __________   5.940  A2Vp:     
hr0013   0 08 03.47  -33 31 46.0  2000.0  __________   5.680  K1III     
hr0014   0 08 12.11  -2 26 52.0  2000.0  __________   6.070  K2III+F   
hr0015   0 08 23.40  +29 05 24.4  2000.0  _21Alp_And   2.060  B8IVpMnHg 
hr0016   0 08 17.36  -8 49 26.3  2000.0  __________   5.990  G8        
hr0017   0 08 40.92  +36 37 34.5  2000.0  __________   6.190  F8IV      
hr0018   0 08 33.40  -17 34 39.3  2000.0  __________   6.060  M0III     
hr0019   0 08 52.28  +25 27 46.3  2000.0  __________   6.230  K0III     
hr0020   0 09 20.58  +79 42 52.7  2000.0  __________   6.010  A7IV      
hr0021   0 09 11.38  +59 08 57.2  2000.0  _11Bet_Cas   2.270  F2III-IV  
hr0022   0 09 02.50  +18 12 42.8  2000.0  _87____Peg   5.530  G9III     
hr0023   0 09 02.46  -54 00 06.8  2000.0  __________   6.330  G4IV      
hr0024   0 09 21.05  -27 59 16.0  2000.0  ___Kap1Scl   5.420  F2V       
hr0025   0 09 24.82  -45 44 52.8  2000.0  ___Eps_Phe   3.880  K0III     
hr0026   0 10 02.33  +11 08 44.0  2000.0  _34____Psc   5.510  B9Vn      
hr0027   0 10 19.31  +46 04 20.0  2000.0  _22____And   5.030  F2II      
hr0028   0 10 29.73  +57 09 56.1  2000.0  __________   6.740  B7IV      
hr0029   0 10 18.82  -5 14 55.3  2000.0  __________   5.840  K1III     
hr0030   0 10 01.96  -82 13 26.2  2000.0  ___Gam3Oct   5.280  G8III     
hr0031   0 10 42.90  -12 34 48.4  2000.0  __________   5.850  K0IV      
hr0032   0 10 38.88  -73 13 27.8  2000.0  __________   6.640  F2V+F6V   
hr0033   0 11 15.85  -15 28 07.7  2000.0  __6____Cet   4.890  F7V       
hr0034   0 11 34.41  -27 47 58.8  2000.0  ___Kap2Scl   5.410  K5III     
hr0035   0 11 44.14  -35 07 57.8  2000.0  ___The_Scl   5.250  F4V       
hr0036   0 11 59.16  +48 09 09.2  2000.0  __________   6.160  K4        
hr0037   0 12 10.04  -17 56 18.3  2000.0  __________   5.250  K5III     
hr0038   0 12 50.42  +37 41 35.9  2000.0  __________   6.730  B2V       
hr0039   0 13 14.20  +15 11 00.9  2000.0  _88Gam_Peg   2.830  B2IV      
hr0040   0 13 23.99  +26 59 13.5  2000.0  __________   6.300  G0III     
hr0041   0 13 30.69  +41 02 05.5  2000.0  _23____And   5.720  F0IV      
hr0042   0 13 42.12  -26 01 19.7  2000.0  __________   5.940  K5III     
