name,	RA,DECL,epoch,binspect,binspat,ccdmode,slitangle,slitwidth,exptime,wrange,channel,mag,magsystem,magfilter,airmass_max,srcmodel
FOO,4:33:31.77,30:00:00,J2000,1,1,default,0.156385,SET 1,SET 900,500 510,G,18.0,AB,user,4.0,-model constant
ZTF20ackgfep,07:30:22.824,21:10:01.56,J2000,1,1,default,PA,SET 1,SET 600,500 510,G,18.0,AB,user,4.0,-model constant
FOO1,08:51:23.0,11:48:50.0,J2000,1,1,default,0,SET 1,SET 900,500 510,G,18.0,AB,user,4.0,-model constant
FOO2,10:00:00.,70:00:00.0,J2000,1,1,default,0,SET 1,SET 900,500 510,G,18.0,AB,user,4.0,-model constant
FOO3,10:00:00.0,00:00:00.0,J2000,1,1,default,0,SET 1,SET 900,500 510,G,18.0,AB,user,4.0,-model constant
ZTF22aaheakp,06:54:07.43,+69:38:38.92,J2000,1,1,default,0,SET 1,SET 900,500 510,G,18.0,AB,user,4.0,-model constant
FOO4,10:00:00.0,00:00:00.0,J2000,1,1,default,0,SET 1,SET 900,500 510,G,18.0,AB,user,4.0,-model constant
ZTF20ackgfep,07:18:42.74,+51:54:08.74,J2000,1,1,default,0,SET 1,SET 600,500 510,G,18.0,AB,user,4.0,-model constant
ZTF20ackgfep,07:18:42.74,+51:54:08.74,J2000,1,1,default,0,SET 1,SET 600,500 510,G,18.0,AB,user,4.0,-model constant
ZTF22aakefcn,09:27:10.14,+23:04:10.51,J2000,1,1,default,0,SET 1,SET 900,500 510,G,18.0,AB,user,4.0,-model constant
ZTF22aakefcn,09:27:10.14,+23:04:10.51,J2000,1,1,default,0,SET 1,SET 900,500 510,G,18.0,AB,user,4.0,-model constant
ZTF22aakefcn,09:27:10.14,+23:04:10.51,J2000,1,1,default,0,SET 1,SET 900,500 510,G,18.0,AB,user,4.0,-model constant
ZTF22aahqbgm,09:50:28.13,-21:48:24.86,J2000,1,1,default,0,SET 1,SET 600,500 510,G,18.0,AB,user,4.0,-model constant
ZTF22aahqbgm,09:50:28.13,-21:48:24.86,J2000,1,1,default,0,SET 1,SET 600,500 510,G,18.0,AB,user,4.0,-model constant
ZTF22aahqbgm,09:50:28.13,-21:48:24.86,J2000,1,1,default,0,SET 1,SET 600,500 510,G,18.0,AB,user,4.0,-model constant
ZTF22aagyuao,09:54:45.25,+55:26:25.39,J2000,1,1,default,0.15638,SET 1,SET 600,500 510,G,18.0,AB,user,4.0,-model constant
ZTF22aahgvlx,10:02:05.73,+10:01:10.70,J2000,1,1,default,0,SET 1,SET 900,500 510,G,18.0,AB,user,4.0,-model constant
ZTF22aadksbz,10:13:48.23,+18:07:38.36,J2000,1,1,default,0,SET 1,SET 450,500 510,G,18.0,AB,user,4.0,-model constant
ZTF22aafkbop,10:55:49.28,+23:29:00.91,J2000,1,1,default,0,SET 1,SET 600,500 510,G,18.0,AB,user,4.0,-model constant
ZTF21achakto,11:04:55.32,+31:09:29.27,J2000,1,1,default,0,SET 1,SET 900,500 510,G,18.0,AB,user,4.0,-model constant
ZTF22aaimgkp,12:03:48.62,+15:01:38.66,J2000,1,1,default,0,SET 1,SET 600,500 510,G,18.0,AB,user,4.0,-model constant
