Wavelength (nm),Red QE
310,
311,
312,
313,
314,
315,
316,
317,
318,
319,
320,
321,
322,
323,
324,
325,
326,
327,
328,
329,
330,
331,
332,
333,
334,
335,
336,
337,
338,
339,
340,
341,0.0834
342,0.0876
343,0.0917
344,0.0959
345,0.1
346,0.1042
347,0.1084
348,0.1125
349,0.1167
350,0.1208
351,0.125
352,0.1292
353,0.1333
354,0.1375
355,0.1416
356,0.1458
357,0.15
358,0.1541
359,0.1583
360,0.1624
361,0.1727
362,0.1832
363,0.1936
364,0.2041
365,0.2146
366,0.225
367,0.2355
368,0.246
369,0.2564
370,0.2669
371,0.2774
372,0.2878
373,0.2983
374,0.3088
375,0.3192
376,0.3297
377,0.3401
378,0.3506
379,0.3611
380,0.371
381,0.3769
382,0.3828
383,0.3887
384,0.3946
385,0.4005
386,0.4064
387,0.4123
388,0.4182
389,0.4241
390,0.43
391,0.4359
392,0.4418
393,0.4477
394,0.4536
395,0.4595
396,0.4654
397,0.4713
398,0.4772
399,0.4831
400,0.489
401,0.4949
402,0.5007
403,0.5055
404,0.5101
405,0.5147
406,0.5194
407,0.524
408,0.5287
409,0.5333
410,0.538
411,0.5426
412,0.5473
413,0.5519
414,0.5565
415,0.5612
416,0.5658
417,0.5705
418,0.5751
419,0.5798
420,0.5844
421,0.5869
422,0.5892
423,0.5915
424,0.5939
425,0.5962
426,0.5985
427,0.6008
428,0.6031
429,0.6055
430,0.6078
431,0.6101
432,0.6124
433,0.6148
434,0.6171
435,0.6194
436,0.6217
437,0.624
438,0.6264
439,0.6287
440,0.631
441,0.6333
442,0.6355
443,0.6375
444,0.6394
445,0.6414
446,0.6433
447,0.6453
448,0.6472
449,0.6492
450,0.6511
451,0.6531
452,0.655
453,0.657
454,0.6589
455,0.6609
456,0.6628
457,0.6648
458,0.6667
459,0.6687
460,0.6706
461,0.6719
462,0.6733
463,0.6746
464,0.676
465,0.6774
466,0.6787
467,0.6801
468,0.6815
469,0.6828
470,0.6842
471,0.6855
472,0.6869
473,0.6883
474,0.6896
475,0.691
476,0.6924
477,0.6937
478,0.6951
479,0.6965
480,0.6978
481,0.6992
482,0.7005
483,0.7024
484,0.7042
485,0.706
486,0.7078
487,0.7096
488,0.7115
489,0.7133
490,0.7151
491,0.7169
492,0.7188
493,0.7206
494,0.7224
495,0.7242
496,0.7261
497,0.7279
498,0.7297
499,0.7315
500,0.7331
501,0.7341
502,0.7352
503,0.7363
504,0.7374
505,0.7385
506,0.7396
507,0.7407
508,0.7418
509,0.7429
510,0.744
511,0.7451
512,0.7462
513,0.7473
514,0.7484
515,0.7495
516,0.7506
517,0.7517
518,0.7528
519,0.7539
520,0.755
521,0.7567
522,0.7584
523,0.7602
524,0.7619
525,0.7636
526,0.7654
527,0.7671
528,0.7689
529,0.7706
530,0.7723
531,0.7741
532,0.7758
533,0.7776
