# Defined at zenith (airmass=1)
# Unsure if data is for Palomar or Keck
Wavelength (nm),K
310,0.209673314
311,0.232026562
312,0.251529673
313,0.268736652
314,0.285943631
315,0.303150611
316,0.319520465
317,0.334780269
318,0.350040074
319,0.365729645
320,0.381843391
321,0.397957137
322,0.412681717
323,0.420971076
324,0.429260434
325,0.437549792
326,0.44583915
327,0.454128508
328,0.462028121
329,0.469115511
330,0.4762029
331,0.483290289
332,0.490377679
333,0.497465068
334,0.504552457
335,0.510790798
336,0.514776116
337,0.518761434
338,0.522746752
339,0.52673207
340,0.530717388
341,0.534702706
342,0.538688025
343,0.542545782
344,0.545728425
345,0.548911068
346,0.552093711
347,0.555276353
348,0.558458996
349,0.561641639
350,0.564824282
351,0.568006924
352,0.571101311
353,0.574111585
354,0.577121859
355,0.580132133
356,0.583142407
357,0.586152681
358,0.589162955
359,0.592173229
360,0.595183502
361,0.598193776
362,0.60120405
363,0.604214324
364,0.607126337
365,0.610014613
366,0.61290289
367,0.615791167
368,0.618679444
369,0.621567721
370,0.624455998
371,0.627344274
372,0.630232551
373,0.632916586
374,0.635238097
375,0.637559608
376,0.639881118
377,0.642202629
378,0.644524139
379,0.64684565
380,0.64916716
381,0.651488671
382,0.653810181
383,0.656131692
384,0.658453202
385,0.660774713
386,0.663096223
387,0.665417734
388,0.667602241
389,0.66969315
390,0.67178406
391,0.673874969
392,0.675965879
393,0.678056788
394,0.680147698
395,0.682238608
396,0.684329517
397,0.686420427
398,0.688511336
399,0.690602246
400,0.692624619
401,0.694522697
402,0.696420776
403,0.698318854
404,0.700216933
405,0.702115012
406,0.70401309
407,0.705911169
408,0.707809247
409,0.709707326
410,0.711605404
411,0.713503483
412,0.715401561
413,0.71729964
414,0.719197718
415,0.72093734
416,0.72267508
417,0.724412819
418,0.726150559
419,0.727888298
420,0.729626038
421,0.731363777
422,0.733101517
423,0.734839256
424,0.736576996
425,0.738314735
426,0.740052475
427,0.74165954
428,0.743127017
429,0.744594494
430,0.746061971
431,0.747529448
432,0.748996925
433,0.750464402
434,0.751931879
435,0.753399356
436,0.754866834
437,0.756334311
438,0.757801788
439,0.759269265
440,0.760736742
441,0.762204219
442,0.763620042
443,0.764808528
444,0.765997015
445,0.767185501
446,0.768373987
447,0.769562473
448,0.770750959
449,0.771939446
450,0.773127932
451,0.774316418
452,0.775504904
453,0.77669339
454,0.777881877
455,0.779070363
456,0.780258849
457,0.781447335
458,0.782419144
459,0.783320164
460,0.784221185
461,0.785122205
462,0.786023225
463,0.786924245
464,0.787825266
465,0.788726286
466,0.789627306
467,0.790528327
468,0.791429347
469,0.792330367
470,0.793231387
471,0.794132408
472,0.795033428
473,0.795934448
474,0.796835468
475,0.797736489
476,0.798637509
477,0.799555878
478,0.800494247
479,0.801432616
480,0.802370984
481,0.803309353
482,0.804247722
483,0.805186091
484,0.806124459
485,0.807062828
486,0.808001197
487,0.808939566
488,0.809877935
489,0.810816303
490,0.811754672
491,0.812693041
492,0.81363141
493,0.814221653
494,0.814706174
495,0.815190695
496,0.815675215
497,0.816159736
498,0.816644257
499,0.817128778
