# Based on MODELS of NGPS spectrograph optics: dichroics, collimator, gratings, camera",
# Does NOT include losses from slit and slicer,
Wavelength (nm),R
300,
301,
302,
303,
304,
305,
306,
307,
308,
309,
310,0
311,0
312,0
313,0
314,0
315,0
316,0
317,0
318,0
319,0
320,0
321,0
322,0
323,0
324,0
325,0
326,0
327,0
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,0
345,0
346,0
347,0
348,0
349,0
350,0
351,0
352,0
353,0
354,0
355,0
356,0
357,0
358,0
359,0
360,0
361,0
362,0
363,0
364,0
365,0
366,0
367,0
368,0
369,0
370,0
371,0
372,0
373,0
374,0
375,0
376,0
377,0
378,0
379,0
380,0
381,0
382,0
383,0
384,0
385,0
386,0
387,0
388,0
389,0
390,0
391,0
392,0
393,0
394,0
395,0
396,0
397,0
398,0
399,0
400,0
401,0
402,0
403,0
404,0
405,0
406,0
407,0
408,0
409,0
410,0
411,0
412,0
413,0
414,0
415,0
416,0
417,0
418,0
419,0
420,0
421,0
422,0
423,0
424,0
425,0
426,0
427,0
428,0
429,0
430,0
431,0
432,0
433,0
434,0
435,0
436,0
437,0
438,0
439,0
440,0
441,0
442,0
443,0
444,0
445,0
446,0
447,0
448,0
449,0
450,0
451,0
452,0
453,0
454,0
455,0
456,0
457,0
458,0
459,0
460,0
461,0
462,0
463,0
464,0
465,0
466,0
467,0
468,0
469,0
470,0
471,0
472,0
473,0
474,0
475,0
476,0
477,0
478,0
479,0
480,0
481,0
482,0
483,0
484,0
485,0
486,0
487,0
488,0
489,0
490,0
491,0
492,0
493,0
494,0
495,0
496,0
497,0
498,0
499,0
500,0
501,0
502,0
503,0
504,0
505,0
506,0
507,0
508,0
509,0
510,0
511,0
512,0
513,0
514,0
515,0
516,0
517,0
518,0
519,0
520,0
521,0
522,0
523,0
524,0
525,0
526,0
527,0
528,0
529,0
530,0
531,0
532,0
533,0
534,0
535,0
536,0
537,0
538,0
539,0
540,0
541,0
542,0
543,0
544,0
545,0
546,0
547,0
548,0
549,0
550,0
551,0
552,0
553,0
554,0
555,0
556,0
557,0
558,0
559,0
560,0
561,0.054869555
562,0.073187651
563,0.098435761
564,0.131863236
565,0.173852273
566,0.221425687
567,0.267096803
568,0.300623795
569,0.316747367
570,0.319530849
571,0.315607769
572,0.310034069
573,0.305760216
574,0.304130661
575,0.305510932
576,0.307042336
577,0.314036862
578,0.322876628
579,0.333030337
580,0.344072164
581,0.355777383
582,0.368445431
583,0.383273044
584,0.402734175
585,0.431035891
586,0.474067804
587,0.536552853
588,0.61314072
589,0.68050864
590,0.71519604
591,0.719024016
592,0.70913566
593,0.698517438
594,0.692445334
595,0.691803108
596,0.69567663
597,0.702517622
598,0.710621321
599,0.718392677
600,0.724508202
601,0.72700992
602,0.711753369
603,0.730718447
604,0.730496691
605,0.729530113
606,0.728791641
607,0.728734201
608,0.729530954
609,0.731131759
610,0.733322983
611,0.735805767
612,0.738244828
613,0.740347553
614,0.741916821
615,0.74287275
616,0.743253109
617,0.74319318
618,0.742893205
619,0.74258211
620,0.742484892
621,0.742796602
622,0.743665643
623,0.74517904
624,0.747353576
625,0.750139955
626,0.753424584
627,0.757039862
628,0.760780776
629,0.764427585
630,0.767771111
631,0.770638079
632,0.772910966
633,0.774539897
634,0.775543676
635,0.776000488
636,0.77603269
637,0.775787236
638,0.775417118
639,0.775065223
640,0.774852757
641,0.774871534
642,0.775180076
643,0.775806002
644,0.776737091
645,0.777932616
646,0.779327722
647,0.780839001
648,0.782372626
649,0.783834184
650,0.785138395
651,0.786217928
652,0.787032128
653,0.787569466
654,0.787848464
655,0.787914588
656,0.787834176
657,0.787686408
658,0.787555034
659,0.787520183
660,0.787651914
661,0.788005337
662,0.788617415
663,0.789505126
664,0.790664928
665,0.792072809
666,0.793685014
667,0.795442933
668,0.797292396
669,0.799207955
670,0.801137668
671,0.802964633
672,0.804587292
673,0.805941963
674,0.806988588
675,0.807706546
676,0.808095727
677,0.80817518
678,0.807983078
679,0.807572813
680,0.807008286
681,0.8063587
682,0.805692948
683,0.805074751
684,0.804558802
685,0.804187342
686,0.803988546
687,0.803975302
688,0.804144894
689,0.804479685
690,0.804947691
691,0.805502945
692,0.806086513
693,0.80664397
694,0.807079461
695,0.807292381
696,0.807137643
697,0.806354698
698,0.80434343
699,0.799639085
700,0.792309043
701,0.793136046
702,0.797025548
703,0.798230671
704,0.797974924
705,0.797150282
706,0.796150109
707,0.795149648
708,0.794226881
709,0.793416565
710,0.792736954
711,0.792202471
712,0.791826176
713,0.791618125
714,0.791581729
715,0.791710813
716,0.791986999
717,0.792377507
718,0.792832264
719,0.793272365
720,0.793460969
721,0.79321909
722,0.793616232
723,0.792893193
724,0.7911783
725,0.787919523
726,0.78221161
727,0.772979537
728,0.760606353
729,0.750682924
730,0.750498096
731,0.757164494
732,0.763817379
733,0.768011472
734,0.769927978
735,0.770215741
736,0.769407072
737,0.767871948
738,0.765863895
739,0.763560371
740,0.761088841
741,0.758541275
742,0.755982761
743,0.75345572
744,0.750982148
745,0.748564415
746,0.746184561
747,0.743803368
748,0.741357375
749,0.738755187
750,0.73587164
751,0.732539742
752,0.728537858
753,0.723574151
754,0.717264713
755,0.709105495
756,0.698440553
757,0.684434218
758,0.66606639
759,0.642185231
760,0.611643923
761,0.573431768
762,0.527087543
763,0.480747677
764,0.446707545
765,0.420346128
766,0.402816408
767,0.394424317
768,0.39287245
769,0.395111864
770,0.394014137
771,0.397566062
772,0.399743087
773,0.400141639
774,0.398691881
775,0.3955222
776,0.390874428
777,0.385054574
778,0.378396694
779,0.371235059
780,0.363875717
781,0.356565335
782,0.349457292
783,0.34257617
784,0.335779274
785,0.328710511
786,0.32073557
787,0.310842142
788,0.297490805
789,0.278438306
790,0.250695534
791,0.211159876
792,0.158967825
793,0.099797214
794,0.047364617
795,0
796,0
797,0
798,0
799,0
800,0
801,0
802,0
803,0
804,0
805,0
806,0
807,0
808,0
809,0
810,0
811,0
812,0
813,0
814,0
815,0
816,0
817,0
818,0
819,0
820,0
821,0
822,0
823,0
824,0
825,0
826,0
827,0
828,0
829,0
830,0
831,0
832,0
833,0
834,0
835,0
836,0
837,0
838,0
839,0
840,0
841,0
842,0
843,0
844,0
845,0
846,0
847,0
848,0
849,0
850,0
851,0
852,0
853,0
854,0
855,0
856,0
857,0
858,0
859,0
860,0
861,0
862,0
863,0
864,0
865,0
866,0
867,0
868,0
869,0
870,0
871,0
872,0
873,0
874,0
875,0
876,0
877,0
878,0
879,0
880,0
881,0
882,0
883,0
884,0
885,0
886,0
887,0
888,0
889,0
890,0
891,0
892,0
893,0
894,0
895,0
896,0
897,0
898,0
899,0
900,0
901,0
902,0
903,0
904,0
905,0
906,0
907,0
908,0
909,0
910,0
911,0
912,0
913,0
914,0
915,0
916,0
917,0
918,0
919,0
920,0
921,0
922,0
923,0
924,0
925,0
926,0
927,0
928,0
929,0
930,0
931,0
932,0
933,0
934,0
935,0
936,0
937,0
938,0
939,0
940,0
941,0
942,0
943,0
944,0
945,0
946,0
947,0
948,0
949,0
950,0
951,0
952,0
953,0
954,0
955,0
956,0
957,0
958,0
959,0
960,0
961,0
962,0
963,0
964,0
965,0
966,0
967,0
968,0
969,0
970,0
971,0
972,0
973,0
974,0
975,0
976,0
977,0
978,0
979,0
980,0
981,0
982,0
983,0
984,0
985,0
986,0
987,0
988,0
989,0
990,0
991,0
992,0
993,0
994,0
995,0
996,0
997,0
998,0
999,0
1000,0
1001,0
1002,0
1003,0
1004,0
1005,0
1006,0
1007,0
1008,0
1009,0
1010,0
1011,0
1012,0
1013,0
1014,0
1015,0
1016,0
1017,0
1018,0
1019,0
1020,0
1021,0
1022,0
1023,0
1024,0
1025,0
1026,0
1027,0
1028,0
1029,0
1030,0
1031,0
1032,0
1033,0
1034,0
1035,0
1036,0
1037,0
1038,0
1039,0
1040,0
1041,0
1042,0
1043,0
1044,0
1045,0
1046,0
1047,0
1048,0
1049,0
1050,0
