# Measured after mirror coatings in 2020
Wavelength (nm),T
310,0.665530879
311,0.665521319
312,0.665511758
313,0.665502198
314,0.665492637
315,0.665483077
316,0.665473516
317,0.665463956
318,0.665454396
319,0.665444835
320,0.665435275
321,0.665425714
322,0.665416154
323,0.665406593
324,0.665397033
325,0.665387473
326,0.665377912
327,0.665368352
328,0.665358791
329,0.665349231
330,0.66533967
331,0.66533011
332,0.665320549
333,0.665310989
334,0.665301429
335,0.665291868
336,0.665282308
337,0.665272747
338,0.665263187
339,0.665253626
340,0.665244066
341,0.665234505
342,0.665224945
343,0.665215385
344,0.665205824
345,0.665199416
346,0.665195109
347,0.665190802
348,0.665186495
349,0.665182188
350,0.665177881
351,0.665173574
352,0.665169267
353,0.66516496
354,0.665160653
355,0.665156347
356,0.66515204
357,0.665147733
358,0.665143426
359,0.665139119
360,0.665134812
361,0.665130505
362,0.665126198
363,0.665121891
364,0.665117584
365,0.665108895
366,0.665093632
367,0.665078368
368,0.665063105
369,0.665047842
370,0.665032579
371,0.665017316
372,0.665002053
373,0.664986789
374,0.664971526
375,0.664956263
376,0.664941
377,0.664925737
378,0.664910474
379,0.664895211
380,0.664879947
381,0.664864684
382,0.664849421
383,0.664834158
384,0.664818895
385,0.664803632
386,0.664788368
387,0.664773105
388,0.66476093
389,0.664750814
390,0.664740698
391,0.664730581
392,0.664720465
393,0.664710349
394,0.664700233
395,0.664690116
396,0.66468
397,0.664669884
398,0.664659767
399,0.664649651
400,0.664639535
401,0.664629419
402,0.664619302
403,0.664609186
404,0.66459907
405,0.664588953
406,0.664578837
407,0.664568721
408,0.664558605
409,0.664548488
410,0.664538372
411,0.664528256
412,0.66451814
413,0.664508023
414,0.664510703
415,0.664516581
416,0.664522459
417,0.664528338
418,0.664534216
419,0.664540095
420,0.664545973
421,0.664551851
422,0.66455773
423,0.664563608
424,0.664569486
425,0.664575365
426,0.664581243
427,0.664587122
428,0.664593
429,0.664598878
430,0.664604757
431,0.664610635
432,0.664616514
433,0.664622392
434,0.66462827
435,0.664634149
436,0.664640027
437,0.664645905
438,0.664651784
439,0.664657662
440,0.664663541
441,0.664669419
442,0.664675297
443,0.664676418
444,0.664658506
445,0.664640594
446,0.664622682
447,0.664604771
448,0.664586859
449,0.664568947
450,0.664551035
451,0.664533124
452,0.664515212
453,0.6644973
454,0.664479388
455,0.664461476
456,0.664443565
457,0.664425653
458,0.664407741
459,0.664389829
460,0.664371918
461,0.664354006
462,0.664336094
463,0.664318182
464,0.664300271
465,0.664282359
466,0.664264447
467,0.664246535
468,0.664228624
469,0.664210712
470,0.6641928
471,0.664174888
472,0.664156976
473,0.664139065
474,0.664121153
475,0.664103241
476,0.664085329
477,0.664064005
478,0.66402903
479,0.663994055
480,0.66395908
481,0.663924106
482,0.663889131
483,0.663854156
484,0.663819181
485,0.663784206
486,0.663749231
487,0.663714256
488,0.663679281
489,0.663644307
490,0.663609332
491,0.663574357
492,0.663539382
493,0.663504407
494,0.663469432
495,0.663434457
496,0.663399482
497,0.663364508
498,0.663329533
499,0.663294558
500,0.663259583
501,0.663224608
502,0.663189633
503,0.663154658
504,0.663119683
505,0.663084709
506,0.663049734
507,0.663014759
508,0.662979784
509,0.662944809
510,0.662909834
511,0.662874859
512,0.662839884
513,0.66280491
514,0.662769935
515,0.66273496
516,0.662699985
517,0.662644126
518,0.66255694
519,0.662469755
520,0.662382569
521,0.662295384
522,0.662208198
523,0.662121013
524,0.662033827
525,0.661946642
526,0.661859456
527,0.661772271
528,0.661685085
529,0.6615979
530,0.661510714
531,0.661423529
532,0.661336343
533,0.661249158
534,0.661161972
535,0.661074787
536,0.660987601
537,0.660900416
538,0.66081323
539,0.660726045
540,0.660638859
541,0.660551674
542,0.660464488
543,0.660377303
544,0.660290117
545,0.660202932
546,0.660115746
547,0.660028561
548,0.659941375
549,0.65985419
550,0.659767004
551,0.659679819
552,0.659592633
553,0.659505448
554,0.659418262
555,0.659331077
556,0.659243891
557,0.659156706
558,0.65906952
559,0.658982335
560,0.658895149
561,0.658807964
562,0.658720778
563,0.658633593
564,0.658524441
565,0.658393324
566,0.658262207
567,0.65813109
568,0.657999973
569,0.657868856
570,0.657737739
571,0.657606622
572,0.657475505
573,0.657344388
574,0.657213271
575,0.657082154
576,0.656951037
577,0.65681992
578,0.656688803
579,0.656557686
580,0.656426569
581,0.656295452
582,0.656164335
583,0.656033218
584,0.655902101
585,0.655770984
586,0.655639867
587,0.65550875
588,0.655377633
589,0.655246516
590,0.655115399
591,0.654984282
592,0.654853165
593,0.654722048
594,0.654590931
595,0.654459814
596,0.654328697
597,0.65419758
598,0.654066463
599,0.653935346
600,0.653804229
601,0.653673112
602,0.653541995
603,0.653410878
604,0.653279761
605,0.653148644
606,0.653017527
607,0.65288641
608,0.652755293
609,0.652624176
610,0.652493059
611,0.652361941
612,0.652230824
613,0.652099707
614,0.65196859
615,0.651837473
616,0.651706356
617,0.651575239
618,0.651444122
619,0.651313005
620,0.651181123
621,0.65104235
622,0.650903577
623,0.650764804
624,0.650626031
625,0.650487258
626,0.650348485
627,0.650209712
628,0.650070939
629,0.649932166
630,0.649793393
631,0.64965462
632,0.649515847
633,0.649377074
634,0.649238301
635,0.649099528
636,0.648960755
637,0.648821982
638,0.648683209
639,0.648544436
640,0.648405663
641,0.64826689
642,0.648128117
643,0.647989344
644,0.647850571
645,0.647711798
646,0.647573025
647,0.647434252
648,0.647295479
649,0.647156706
650,0.647017933
651,0.64687916
652,0.646740387
653,0.646578727
654,0.646394182
655,0.646209636
656,0.646025091
657,0.645840545
658,0.645656
659,0.645471455
660,0.645286909
661,0.645102364
662,0.644917818
663,0.644733273
664,0.644548727
665,0.644364182
666,0.644179636
667,0.643995091
668,0.643810545
669,0.643626
670,0.643441455
671,0.643256909
672,0.643072364
673,0.642887818
674,0.642703273
675,0.642518727
676,0.642334182
677,0.642149636
678,0.641965091
679,0.641780545
680,0.641596
681,0.641411455
682,0.641226909
683,0.641042364
684,0.640857818
685,0.640673273
686,0.640488727
687,0.640304182
688,0.640119636
689,0.639904978
690,0.639569867
691,0.639234756
692,0.638899644
693,0.638564533
694,0.638229422
695,0.637894311
696,0.6375592
697,0.637224089
698,0.636888978
699,0.636553867
700,0.636218756
701,0.635883644
702,0.635548533
703,0.635213422
704,0.634878311
705,0.6345432
706,0.634208089
707,0.633872978
708,0.633537867
709,0.633202756
710,0.632867644
711,0.632532533
712,0.632197422
713,0.631862311
714,0.6315272
715,0.631192089
716,0.630856978
717,0.630521867
718,0.630186756
719,0.629851644
720,0.629516533
721,0.629181422
722,0.628846311
723,0.6285112
724,0.628176089
725,0.627840978
726,0.627505867
727,0.627170756
728,0.626835644
729,0.626500533
730,0.626022046
731,0.625482112
732,0.624942178
733,0.624402243
734,0.623862309
735,0.623322375
736,0.622782441
737,0.622242507
738,0.621702572
739,0.621162638
740,0.620622704
