x, y
300,0
413.63617,0
417.02702,0.01853
418.75926,0.0455
421.10332,0.0873
423.41945,0.12623
426.10031,0.13749
429.00119,0.13959
431.20986,0.16348
432.96579,0.19615
433.84164,0.23671
435.17445,0.28517
436.55465,0.32293
437.59467,0.35809
442.12201,0.372
445.69395,0.37904
449.7584,0.40021
453.03755,0.41357
456.88451,0.43651
461.61833,0.45174
466.91066,0.46323
474.14594,0.47773
482.29176,0.50179
489.13016,0.51187
493.03129,0.52199
501.19403,0.5466
506.33996,0.55401
512.43198,0.55773
521.14901,0.5644
528.00264,0.57386
535.36655,0.57918
543.74593,0.57192
551.29346,0.58064
557.17477,0.58704
561.14698,0.57084
563.53505,0.53981
565.22328,0.49957
566.92505,0.44182
568.67336,0.37819
569.74808,0.33999
571.50655,0.32166
575.06749,0.3245
578.31278,0.34226
580.89294,0.3404
582.84774,0.32348
584.74583,0.29047
586.68794,0.2294
588.23231,0.15912
589.42126,0.10012
591.94388,0.02933
594.91246,0.00922
596.35613,0
598.46409,0
1200,0
