x, y
300,0
556.02526,0
561.20948,0
562.12304,0.02507
564.05189,0.04369
566.55386,0.09023
569.94621,0.17965
571.56584,0.20072
573.04547,0.20827
577.28994,0.1915
580.24214,0.19651
582.28078,0.21651
584.21768,0.23783
586.8385,0.29531
587.87293,0.34286
589.82394,0.42604
590.92585,0.47077
592.90002,0.51224
594.80973,0.50602
596.87859,0.50647
601.05356,0.5262
605.30509,0.55527
610.22743,0.56811
618.19262,0.58154
624.32767,0.59446
628.412,0.59126
636.32481,0.62104
641.42946,0.63488
644.98801,0.6385
648.11648,0.63213
653.17983,0.63857
656.15519,0.63176
658.7881,0.65231
664.89092,0.66015
675.14756,0.67384
676.51034,0.66647
682.50237,0.68003
689.30521,0.65158
694.4703,0.68296
700.5147,0.68293
705.10465,0.69213
709.55057,0.69851
714.81739,0.69881
718.523,0.65766
727.89126,0.69024
730.21696,0.71233
737.54457,0.74129
743.37241,0.74827
751.01831,0.73037
754.64032,0.68514
757.07983,0.61401
759.12451,0.57322
762.92681,0.36098
765.66044,0.38994
768.82718,0.38693
773.17137,0.34869
776.97569,0.33466
780.59165,0.32934
783.22254,0.30362
785.52104,0.24661
788.00588,0.16181
790.27719,0.08514
791.34788,0.06108
793.25356,0.04401
795.86128,0.03774
796.53915,0
798.45491,0
1200,0
