x, y
300.01047,0
304.64481,0
304.91886,0.04319
305.53241,0.0641
306.37973,0.07051
307.58309,0.09834
309.55464,0.09967
310.61703,0.11366
312.8504,0.19044
313.78187,0.1888
314.19258,0.21649
315.40242,0.22051
316.81365,0.24149
320.08136,0.24344
321.36672,0.27661
322.31833,0.27868
324.5402,0.31346
332.59689,0.36195
333.79018,0.36106
337.06364,0.38122
339.93215,0.41083
341.55341,0.41059
348.01546,0.44959
352.02043,0.4681
355.19319,0.47412
362.03214,0.49747
366.42696,0.5114
367.5735,0.50272
370.17227,0.50645
374.86487,0.5427
376.64438,0.5088
378.59436,0.55817
383.85376,0.55221
385.30096,0.56396
386.88698,0.59627
392.22047,0.62934
394.27546,0.59929
397.19575,0.63202
399.03928,0.62837
403.86279,0.62908
409.94002,0.61076
415.10232,0.61122
417.04798,0.58946
418.32543,0.55438
420.18765,0.49129
421.77439,0.42416
422.99789,0.39016
424.57816,0.36587
427.89622,0.37487
430.2605,0.36293
431.62426,0.32918
432.96716,0.2737
433.25847,0.24229
434.86895,0.15484
435.62636,0.1126
436.09461,0.08549
436.84698,0.0532
437.82161,0.02395
439.98809,0.00629
443.33636,0
459.94102,0
1200,0
